0.02,125.1
0.04,48.5
0.06,37.7
0.08,36.4
0.1,34.1
0.12,36.9
0.14,30.0
0.16,30.1
0.18,31.9
0.2,34.2
0.22,34.4
0.24,30.4
0.26,31.5
0.28,33.1
0.3,32.8
0.32,32.2
0.34,32.6
0.36,33.4
0.38,35.3
0.4,31.8
0.42,31.4
0.44,30.8
0.46,31.9
0.48,31.3
0.5,30.7
0.52,40.1
0.54,43.2
0.56,38.8
0.58,38.7
0.6,39.7
0.62,41.7
0.64,40.3
0.66,40.6
0.68,39.8
0.7,40.0
0.72,40.5
0.74,46.6
0.76,39.6
0.78,38.5
0.8,38.9
0.82,38.9
0.84,39.0
0.86,39.1
0.88,38.8
0.9,38.7
0.92,39.2
0.94,40.8
0.96,43.2
0.98,38.4
1.0,39.2
1.02,59.9
1.04,58.7
1.06,59.0
1.08,59.5
1.1,58.4
1.12,62.5
1.14,58.4
1.16,58.2
1.18,59.7
1.2,58.4
1.22,59.9
1.24,58.3
1.26,61.6
1.28,58.5
1.3,58.6
1.32,59.5
1.34,57.9
1.36,59.9
1.38,58.7
1.4,61.6
1.42,58.0
1.44,57.9
1.46,58.3
1.48,58.5
1.5,58.4
