0.02,238.7
0.04,147.7
0.06,142.2
0.08,125.2
0.1,127.4
0.12,126.7
0.14,136.3
0.16,135.9
0.18,122.0
0.2,121.3
0.22,120.1
0.24,126.1
0.26,136.1
0.28,139.7
0.3,146.2
0.32,156.2
0.34,142.0
0.36,139.1
0.38,136.3
0.4,141.7
0.42,135.5
0.44,131.7
0.46,145.0
0.48,146.0
0.5,145.3
0.52,196.0
0.54,179.3
0.56,195.9
0.58,191.2
0.6,191.1
0.62,186.9
0.64,186.4
0.66,191.9
0.68,191.4
0.7,184.3
0.72,182.6
0.74,182.5
0.76,172.4
0.78,191.7
0.8,188.2
0.82,193.5
0.84,204.8
0.86,187.3
0.88,194.2
0.9,180.5
0.92,179.8
0.94,172.5
0.96,173.9
0.98,172.0
1.0,186.6
1.02,286.7
1.04,274.4
1.06,267.3
1.08,264.3
1.1,266.3
1.12,264.8
1.14,267.4
1.16,264.8
1.18,261.2
1.2,265.0
1.22,264.7
1.24,285.4
1.26,314.0
1.28,263.1
1.3,268.9
1.32,265.3
1.34,261.7
1.36,273.6
1.38,266.3
1.4,264.1
1.42,262.3
1.44,264.1
1.46,262.6
1.48,265.3
1.5,262.0
