0.02,176.4
0.04,94.7
0.06,93.3
0.08,85.4
0.1,81.7
0.12,82.3
0.14,84.2
0.16,85.6
0.18,83.1
0.2,82.9
0.22,82.4
0.24,84.6
0.26,97.8
0.28,96.9
0.3,97.6
0.32,92.1
0.34,95.3
0.36,94.3
0.38,94.6
0.4,94.6
0.42,95.1
0.44,98.0
0.46,96.2
0.48,95.2
0.5,95.5
0.52,127.7
0.54,128.3
0.56,121.9
0.58,128.5
0.6,140.6
0.62,133.0
0.64,131.6
0.66,125.0
0.68,129.9
0.7,131.1
0.72,140.6
0.74,125.5
0.76,128.7
0.78,133.2
0.8,124.7
0.82,129.4
0.84,138.4
0.86,155.5
0.88,179.7
0.9,136.8
0.92,133.9
0.94,138.5
0.96,146.4
0.98,144.4
1.0,125.8
1.02,202.2
1.04,199.1
1.06,206.6
1.08,198.9
1.1,202.9
1.12,196.4
1.14,199.3
1.16,198.6
1.18,196.8
1.2,192.7
1.22,199.0
1.24,194.0
1.26,208.9
1.28,224.3
1.3,218.0
1.32,208.4
1.34,198.6
1.36,193.4
1.38,195.6
1.4,191.3
1.42,192.4
1.44,200.3
1.46,190.9
1.48,193.3
1.5,190.8
